ID	A-ID	Author	Title	City	Printed_in (В тип. )	Year	Sovr	Sovr_score	OZ	OZ_score	CO	CO_score	MN	MN_score	Telescope	Telescope_score	JMNP_ukazatel	JMNP_date	JMNP	JMNP_sign	JMNP_score	Sev_pchela	Sev_pchela_reviewer_sign	Sev_pch_score	BdCH	BdCH_score	Other
COL_154		Веревкин Н.Ф.	Солдатские песни первого пехотного корпуса	Вильна		1837																					Опубликованы в БдЧ. 1837. Т. 20. С. 83-94
COL_207		Шаршавый	Цевница, на 1837 год. Соч. Шаршавого	СПб.	Вингебера	1837													1839. Ч. 23. Отд. VI. С. 125		neg	1837. № 130. 14 июн. С. 517-519	К.	neg	1837. Т. 23. С. 8-9	neg	
COL_209			Старичок-весельчак, рассказывающий давние Московские были	М.	Евреинова	1837																			1837. Т. 24. С. 39-42	pos	
COL_214		Орлов А.	Померцающая луна или покорения Брамлова. Героическая песнь	М.	Кирилова	1837																					
COL_220			Рассказы из русской истории в стихах. Соч. И. Ш.	М.	Лазаревых института восточных языков	1837																					
COL_221			Минерва, на 1837 год	М.	Кирилова	1837													1839. Ч. 23. Отд. VI. С. 125		neg				1837. Т. 22. С. 5-6	neg	
COL_60		Аладьина Е.В.	Сочинения Е.В.А…	СПб.	Вингебера	1838			1839. Т. 2. № 2. Отд. 7. С. 19-20	neg							1838. Ч. 20. Указатель… С. 151	12.1838									
COL_61		Бенедиктов В.	Стихотворения В. Бенедиктова. Кн. 2.	СПб.	Иверина	1838	1838. Т. 9. С. 87-90	pos	1839. Т. 1. № 1. Отд. 7. С. 14	pos	1838. Т. 2. Отд. 4. С. 86-96	neg					1838. Ч. 17. Указатель… С. 3	01.1838				1838. № 14. 18 янв. С. 55		neg	1838. Т. 26. С. 44-46	pos	
COL_62		Бестужев А.А. (Марлинский)	Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е	СПб.	III Отд. собств. Е.И.В. канц.	1838																1838. № 228. С. 907					
COL_63		Бобылев Н.И.	Невский альбом: Опыты в стихах и прозе	СПб.	Воен. тип.	1838	1838. Т. 12. С. 70-71	pos			1838. Т. 5. Отд. 4. С. 61-62	???															
COL_64		Вердеревский А. 	Стихотворения Александра Вердеревского	М.	Степанова	1838	1838. Т. 12. С. 69	neg			1838. Т. 5. Отд. 4. С. 60-61	neg?															
COL_65		Веронов 	Стихотворения Веронова	СПб.	Сахарова	1838	1839. Т. 14. С. 32-33	neg			1838. Т. 6. № 12. Отд. 4. С. 123-124	neg													1839. Т. 32. С. 1-6	"pos; но с уколами"	
COL_66		Владиславлев	Утренняя заря Альманах Владиславлева на 1839 год	СПб.	Фишера	1838	1839. Т. 13. С. 59-61	pos	1839. Т. 2. № 2. Отд. 7. С. 1-12	"pos; предваряется рассказом об альманахах вообще"	1839. Т. 7. № 1. Отд. 4. С. 65-67	pos					1838. Ч. 20. Указатель… С. 141	11.1838				1839. № 1. С. 2-3	Ф.Б.	pos			
COL_67		Демидов М. 	Разные разности. Стихотворения М. Демидова	М.	Августа Семена. При имп. Мед.-хирург. Акад.	1838	1838. Т. 12. С. 69-70	neg			1838. Т. 4. Отд. 4. С. 125	neg					1838. Ч. 19. Указатель… С. 86	07.1838				1839. № 159. С. 635		neg			
COL_68		Доброхотов Ф. 	Взгляд на поэзию Феофила Доброхотова	М.	Августа Семена. При имп. Мед.-хирург. Акад.	1838	1839. Т. 13. С. 69-70	neg									1838. Ч. 18. Указатель… С. 53	05.1838							1838. Т. 31. С. 59-60	neg	ЖМНП: повторное появление в указателе 1838 года, с. 123, выход в октябре 1838
COL_69		Долгоруков А.В.	Поэзия Алексея Москвитянина [псевд.]	М.	А. Семена	1838	1838. Т. 12. С. 69-70	neg			1838. Т. 4. Отд. 4. С. 122-125	neg					1838. Ч. 19. Указатель… С. 72	06.1838									
COL_70		Карелин И.М.	Весенние мечты: Стихотворения Ильи Карелина	М.	Селивановского	1838	1838. Т. 11. С. 61-62	neg									1838. Ч. 19. Указатель… С. 72	06.1838							1838. Т. 29. С. 28	neg	
COL_71		Костомаров Н.	Украинские баллады	Харьков	Ун. тип.	1838																					
COL_72		Краснов С.	Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]	М.	Кирилова	1838	1839. Т. 14. С. 32-33	neg	1839. Т. 2. № 3. Отд. 7. С. 144	neg																	
COL_73		Леонов А.	Стихотворения А. Леонова. 1834-1838	Харьков	Губ. тип.	1839			1839. Т. 5. Отд. 7. С. 131	neg	1840. Т. 1. Кн. 3. С. 661-662	neg													1840. Т. 38. С. 31	"pos; но с уколами"	
COL_74		Максимов М.И.	Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова	СПб.	Глазунова	1838											1838. Ч. 20. Указатель… С. 123	10.1838	1838. Ч. 20. № 12. С. 589		"pos; речь идет о первом издании, 1836?"	"1836. № 129. 9 июн. С. 513; 1838. № 277. С. 1106-1107"	"Z.Z.Z.; (указ. тип. Авг. Семена)"	pos	"1836. Т. 17. С. 4; 1838. Т. 31. С. 60 (рец. на третье изд.)"	"pos; указ тип. Крайя (это изд. 1836 г.)"	
COL_75		Марков М.	Мечты и были	СПб.	Праца	1838	1838. Т. 10. С. 61	neg			1838. Т. 2. Отд. 4. С. 163-164	pos										1838. № 93. 27 апр. С. 371		pos	1838. Т. 28. С. 45-51	"pos; с выписками"	
COL_76		Онисимова Д.А.	Стихи бедной девицы, слепой дочери деревенского пономаря, сообщенные в Императорскую Российскую Академию, и от ней изданные	СПб.	Имп. Рос. Акад.	1838	1838. Т. 12. С. 70	neg																			
COL_77		Остроумов И.	Остатки похищенной сельской музы. Стихотворения Ивана Остроумова			1838																					
COL_78		Полежаев А.И.	Арфа: Стихотворения Александра Полежаева	М.	Кирилова	1838	1838. Т. 10. С. 62	neg									1838. Ч. 18. Указатель… С. 40	04.1838				1838. № 185. С. 738-739	А.	neg	1838. Т. 28. С. 5-7	neg	
COL_79		Сушков Д.П.	Стихотворения Д. Сушкова	СПб.	Штаба отд. корп. внутр. стражи	1838	1838. Т. 12. С. 67-68	neg			1838. Т. 5. Отд. 4. С. 139-140	pos					1838. Ч. 20. Указатель… С. 122	10.1838				1838. № 231. С. 923	Ф. Б.	pos	1838. Т. 31. С. 1-11	neg?	
COL_80		Теплова Н. 	Стихотворения Н. Тепловой. Изд. 2, умноженное	М.	Лазаревых института восточных языков	1838			1839. Т. 1. № 1. Отд. 7. С. 14	pos							1838. Ч. 20. Указатель… С. 122	10.1838				1838. № 277. С. 1106-1107		pos			
COL_81			Собрание отборнейших русских песен. Собрано М.С. В 2-х ч.	СПб.	Вингебера	1838					1838. Т. 4. Отд. 4. С. 57	neg					1838. Ч. 19. Указатель… С. 86	07.1838				1838. № 198. С. 791	А.	neg			
COL_82		Молчанова В.	Стихотворения, сочиненные девицей B.М.	СПб.	Глазунова	1838	1838. Т. 12. С. 70	neg									1838. Ч. 19. Указатель… С. 86	07.1838									
COL_83			И то и се или собрание сочинений в стихах и прозе М.Д.	М.	Смирнова	1838	1839. Т. 13. С. 69-70	neg									1838. Ч. 20. Указатель… С. 123	10.1838							1838. Т. 31. С. 59-60	neg	
COL_84			Разные стихотворения. Соч. А. Лукьянова			1838																					
COL_85			Стихотворение Иерусалимскому патриарху […] от универс. тип.			1838																					
COL_86			Урна. Стихотворения Алексеева.			1838																					
COL_87			Стихи: Господам членам […] клуба на 1839 год от титулярного советника Германа[?]			1838																					
COL_155			Поздравительные стихи за 1838 год гг. Старшинам, Членам и Гостям Немецкого клуба	М.	Степанова	1838																					
COL_156			Двенадцать стихотворений на разные случаи	Рига[?]		1838																					
COL_157			Пять стихотворений на разные случаи	Рига[?]		1838																					
COL_158			Фантастическое зеркало в шуточно-сатирических стихах. Соч. Г.Б.М.	М.	Лазаревых	1838											1838. Ч. 17. Указатель… С. 4	01.1838									
COL_159			Два стихотворения на случай	Рига[?]		1838																					
COL_160		Дмитриев И.И.	Басни и апологи И.И. Дмитриева	СПб.	Военн. тип.	1838																					
COL_161			Любовь к добродетельной деве, или Черты душевной красоты: Стихотворения, писанные в 1822 г.	М.	Ун. тип	1838	1838. Т. 10. С. 62-63	neg									1838. Ч. 18. Указатель… С. 41	04.1838				1838. № 176. С. 703	А.	neg	1838. Т. 28. С. 39-44	"neg; рассуждение о слове “мечта” и пушкине"	
COL_162		Раевич А.	Плоды вечерних безделок, соч. А. Раевича	М.	Евреинова	1838	1838. Т. 11. С. 61-62	neg			1838. Т. 4. Отд. 4. С. 55	neg					1838. Ч. 18. Указатель… С. 53	05.1838				1838. № 198. С. 791	А.	neg	1838. Т. 29. С. 23-27	neg	
COL_163			Стихи для конфектов	Вильна	А. Дворца	1838																					
COL_164		Праволамский П.	Стихотворения П. Праволамского	Ярославль	Губ. правления	1838	1839. Т. 14. С. 32-33	neg	1839. Т. 2. № 3. Отд. 7. С. 140-143	"pos; есть “случайная выписка” из сборника, изд. в СПб., тип. Снегирева"							1838. Ч. 20. Указатель… С. 151	12.1838									
COL_165		Моствило-Головач П.	Стихотворения П. Моствило-Головача	Смоленск	Губ. правления	1838	1838. Т. 12. С. 69-70	neg																			
COL_166			Стихотворения, посвященные Гроссгейнриху	СПб.	Неймана	1838																					
COL_167			К портрету Н.И. Греча	СПб.	Н. Греча	1838																					
COL_168		Бакунин И.М.	На все время и пора	СПб.	Неймана	1838					1838. Т. 4. Отд. 4. С. 53-55	neg															
COL_169		Башкатов А.	Быль и заблуждение моего ума и сердца. Соч. Алексея Башкатова, в стихах и прозе	М.	Евреинова	1838	1838. Т. 11. С. 61-62	neg			1838. Т. 4. Отд. 4. С. 122-125	neg					1838. Ч. 19. Указатель… С. 72	06.1838				1838. № 169. С. 674-675	А.	neg			
COL_170			Четыре стихотворения на случай	Рига[?]		1838																					
COL_171			Четыре стихотворения на случай	Рига[?]		1838																					
COL_172			Детские поздравительные стихотворения	СПб.	Гинца	1838	1839. Т. 13. С. 69-70	neg																	1838. Т. 31. С. 75-76	???	
COL_173			Новые детские поздравления, в стихах, с праздниками. Изд. Л. Жебелева	СПб.	Губ. правления	1838	1839. Т. 14. С. 38-40	neg	1839. Т. 2. № 2. Отд. 7. С. 90-91		1839. Т. 7. Отд. 4. № 1. С. 72-73	neg															
COL_174			Карманный песенник. Соч. А.П.	М.	Кирилова	1838			1839. Т. 5. Отд. 7. С. 47-48	neg							1838. Ч. 18. Указатель… С. 53	05.1838									
COL_175		Волков	Симонов монастырь: Стихотворение	М.	Смирнова	1838	1839. Т. 14. С. 32-33	neg																			
